Date,Location,Dead,Injured,Total,Description
12/31/18,"Cleveland, Ohio (5)",3,2,5,A dispute began at a rented Airbnb during a New Year's Eve party. Three men were killed and another man and woman were wounded.[15]
12/29/18,"Lima, Ohio (2)",1,3,4,One person was killed and three people were wounded in a shooting at an afterhours club.[16]
12/28/18,"St. Charles, Missouri",4,1,5,"A gunman shot and killed his girlfriend, her two children, and her mother. He was arrested after exchanging fire with police and attempting to carjack a vehicle.[17]"
12/24/18,"Lutcher, Louisiana",2,2,4,Three people were killed and two others were wounded in a shooting outside of a bar.[18]
12/23/18,"Springfield, Missouri (2)",0,7,7,Seven people were wounded during a shooting at a holiday party.[19]
12/22/18,"Las Vegas, Nevada (2)",0,4,4,Four people were wounded during a shooting at a holiday party.[20]
12/18/18,"Baltimore, Maryland (4)",0,5,5,Five people were injured in a shooting outside a deli.[21]
12/15/18,"Miami, Florida (5)",0,5,5,Five people were wounded in a shooting.[22]
12/14/18,"Colorado Springs, Colorado (2)",1,3,4,One person was killed and three others were injured in a shooting near the Colorado Springs Airport.[23]
12/13/18,"Philadelphia, Pennsylvania (10)",0,4,4,Four men were injured in a shooting that occurred inside a barbershop. The suspect evaded police but the weapon was recovered.[24]
12/11/18,"Natachitoches, Louisiana",1,3,4,One person was killed and three others were wounded in a shooting just before midnight.[25]
12/9/18,"Madison, Wisconsin",0,4,4,Four people were injured by gunfire inside a strip club following a fight. One additional person was stabbed.[26]
12/9/18,"Laurinburg, North Carolina",1,3,4,One person was killed and three others were wounded in a shooting.[27]
12/8/18,"New York City, New York (6)",0,5,5,Five people were wounded outside of a nightclub in Queens after a dispute inside the club.[28]
12/1/18,"Miami, Florida (4)",0,5,5,Five people were wounded in a shooting in the Overtownneighborhood of Miami.[29]
11/26/18,"Powell, Tennessee",0,4,4,Four people were wounded in a shooting. Two suspects were taken into custody by police.[30]
11/25/18,"Houston, Texas (4)",1,6,7,"A thirteen-year-old boy was killed and six other people were injured in a shooting at a block party. At least two shooters were involved, and police believe it may have been gang-related.[31]"
11/25/18,"Demopolis, Alabama",2,2,4,Two people were killed and two others were wounded in a shooting at an intersection.[32]
11/25/18,"Oakland, California (4)",0,4,4,Four people were wounded in a drive-by shooting while attending a vigil for a resident of their area who had died of natural causes.[33]
11/24/18,"Orlando, Florida (4)",2,2,4,Two people were killed and two others were wounded in a shooting outside a pizza shop. A suspect was taken into custody by police.[34]
11/23/18,"Miami, Florida (3)",2,2,4,"Two people were killed and five others were wounded in a shooting outside of a convenience store. Two of the injured were hit with bullets, the other three were injured in other ways.[35]"
11/22/18,"Fort Wayne, Indiana",3,2,5,"Three people were killed and two others were injured in a home invasion shooting. One person was arrested the next day, and police suspect another person was involved.[36]"
11/21/18,"St. Louis, Missouri (9)",0,4,4,Four people were injured in a shooting in the Penroseneighborhood of St. Louis.[37]
11/19/18,"Denver, Colorado (2)",1,3,4,One person was killed and three others were injured in a shooting in the LoDo neighborhood.[38]
11/19/18,"Philadelphia, Pennsylvania (9)",4,0,4,Four people were discovered shot execution style in the head in a basement of a home.[39]
11/19/18,"Chicago, Illinois (26)",4,0,4,"Mercy Hospital shooting: A gunman opened fire in the Mercy Hospital and Medical Center in Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police.[40]"
11/18/18,"Los Angeles, California (6)",1,3,4,"A man killed his girlfriend and wounded his uncle and grandmother in a shooting in Watts, Los Angeles. The shooter was also injured, either during a confrontation with police or by a self-inflicted gunshot.[41]"
11/16/18,"Little Rock, Arkansas",3,1,4,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed.[42]"
11/16/18,"Wheatland, Wisconsin",1,3,4,"Two people were shot inside a home, and two others were shot at a gas station. One of the victims later died of their injuries.[43]"
11/14/18,"Baton Rouge, Louisiana",3,1,4,Three people were killed and one person was injured in a shooting.[44]
11/13/18,"Indianapolis, Indiana (3)",2,2,4,A man killed two people and wounded two others after shooting them during what police believe to be a drug robbery. One of the deceased men is suspected to have been the perpetrator.[45]
11/13/18,"Tsayatoh, New Mexico",4,1,5,A person killed three people and injured a fourth before killing themself in a residence in an apparent murder–suicide.[46]
11/12/18,"Dunn, North Carolina",3,1,4,A man killed three people and injured one in a shooting after a fight at a home. The shooter was arrested after crashing a vehicle he stole from the scene.[47]
11/11/18,"Globe, Arizona",3,3,5,Three people were killed and one injured when a man began firing at 5 individuals at a bar following a pool game. The suspect was arrested.[48]
11/11/18,"Robbins, Illinois",1,4,5,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.[49]"
11/10/18,"Memphis, Tennessee (8)",2,4,6,Two people were killed and four people were wounded when they were shot after an argument over gambling.[50]
11/7/18,"Thousand Oaks, California",13,12,25,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve people were injured. The gunman then killed himself.[51]"
11/3/18,"Watertown, New York",0,5,5,Five people were wounded in a shooting outside of a nightclub. The suspect was taken into custody by police.[52]
11/2/18,"Long Beach, California",0,4,4,Four people were injured in a shooting in North Long Beach. Police suspect the incident was gang-related.[53]
11/2/18,"Tallahassee, Florida",3,5,8,"2018 Tallahassee shooting: A gunman killed two women and injured five others; four by gunfire, one by being pistol-whipped, at a yoga studio before killing himself in a murder–suicide.[54]"
11/1/18,"Minneapolis, Minnesota (2)",0,5,5,An argument evolved into a shooting that left five people wounded.[55]
11/1/18,"Springfield, Missouri (1)",2,2,4,Two men were killed and two other people were wounded in a shooting at a home.[56]
10/31/18,"Detroit, Michigan (5)",1,3,4,A fifteen-year-old boy was killed and three other people were wounded in a shooting at a home after a robbery.[57]
10/30/18,"Vallejo, California (2)",2,3,5,Two people were killed and three others were wounded in a shooting.[58]
10/30/18,"Los Angeles, California (5)",0,5,5,Five people were injured in a drive-by shooting in South Los Angeles.[59]
10/29/18,"Riverside, California",0,7,7,Seven people were wounded in a shooting following a fight at a nightclub.[60]
10/28/18,"El Dorado, Arkansas",2,2,4,Two people were killed and two were injured in a shooting at a home.[61]
10/27/18,"Pittsburgh, Pennsylvania (2)",11,6,17,"Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing eleven people and injuring six others (including four police officers). The suspect was taken into custody by police.[62][63]"
10/27/18,"Memphis, Tennessee (7)",0,5,5,Five people were wounded by several shooters at a high school Halloween party.[64]
10/26/18,"Jersey City, New Jersey (2)",1,3,4,A seventeen-year-old was killed and three other people were wounded in a shooting.[65]
10/24/18,"Chicago, Illinois (25)",0,5,5,Several gunmen wounded five people who were standing on a sidewalk.[66]
10/22/18,"Chicago, Illinois (24)",0,6,6,"Six people were injured at a funeral service for Vantrease Criss, a rapper who was killed a week before.[67]"
10/21/18,"Jacksonville, Florida (4)",0,6,6,Six people were injured in a drive-by shooting before a NFLgame between the Houston Texans and the Jacksonville Jaguars. Those injured were between the ages of 20 and 70.[68]
10/21/18,"Lakewood, Washington",1,3,4,One person was killed and three were wounded after three gunmen began shooting at a nightclub following an argument.[69]
10/16/18,"Atlanta, Georgia (2)",0,4,4,Four people were injured in a drive-by shooting.[70]
10/15/18,"Columbia, Tennessee",5,0,5,A mother and four teenage children were found by an older brother in an apparent murder–suicide in which the mother is the reported perpetrator.[71]
10/14/18,"Fort Worth, Texas",0,4,4,Two children and two adults were injured in a drive-by shooting.[72]
10/14/18,"East Palo Alto, California",2,2,4,Two people were killed and two were injured in a shooting outside of a Halloween party.[73]
10/14/18,"North Las Vegas, Nevada (2)",3,1,4,Three people were killed and one was wounded after someone arguing with them outside a shopping center shot them and fled.[74]
10/13/18,"St. Louis, Missouri (8)",0,4,4,Four people were wounded near Glasgow Village when one or more people shot into a home.[75]
10/13/18,"Taft, Texas",4,1,5,"A dispute at a one-year-olds birthday party, resulted in four men killed and one wounded.[76]"
