2020 date,City,State,Dead,Injured,Total,Description
8/30/20,Zion,Illinois,0,4,4,A drive by shooting injured three adults standing outside early in the morning. An eight-year-old boy was injured when a bullet entered his bedroom through a wall.[212]
8/29/20,Las Vegas(1),Nevada,2,2,4,"Shortly before midnight a group was walking down an alley toward a store, when they were approached by three men. One opened fire and killed two of the group and injured two others.[213]"
8/29/20,Rock Island(2),Illinois,1,5,6,A man was killed and five others injured in an early morning shooting near a local pub.[214]
8/28/20,Dallas (3),Texas,0,5,5,Four adults and a fifteen-year-old boy were wounded in a late night shooting in the Deep Ellum district.[215]
8/28/20,Minneapolis(5),Minnesota,0,4,4,Four men were wounded by multiple shooters who fled the scene in the car they shot from.[216]
8/27/20,Portland,Oregon,1,3,4,A sixteen-year-old boy was killed and three other juveniles were wounded in Gateway Discovery Park.[217]
8/26/20,Pontiac,Michigan,3,1,4,"A man engaged in a year-long dispute with neighbors, shot four of them as they sat on his porch. Three died and one was wounded, with the shooter later turning himself in.[218]"
8/26/20,Hilton Head Island,South Carolina,0,4,4,"Three men and a woman were injured in a late night shooting, while in a large gathering.[219]"
8/26/20,Philadelphia(18),Pennsylvania,0,4,4,Three adults and a seventeen-year-old boy were injured in East Germantown in an evening shooting.[220]
8/25/20,Norfolk (2),Virginia,0,5,5,Norfolk police said five people were shot on Wednesday night. One of the victims was a 1-month-old child. No suspect information is available at this time.[221]
8/25/20,Rochester(3),New York,0,4,4,"Four men were wounded in an evening shooting, with two being transported to the hospital in private vehicles.[222]"
8/24/20,Detroit (7),Michigan,0,4,4,"Four men were wounded after a vehicle pulled up and opened fire, with one of the wounded returning fire.[223]"
8/24/20,Sacramento(3),California,1,3,4,"A man was killed and three others wounded, in an early morning shooting.[224]"
8/24/20,West Palm Beach,Florida,0,4,4,Four people were wounded in an evening shooting.[225]
8/24/20,Richmond(3),Virginia,1,4,5,A man was killed and four others including a teenage boy were wounded in a night shooting.[226]
8/23/20,Pine Bluff,Arkansas,0,7,7,Seven people were wounded when gunfire erupted while a large crowd was gathered outside a gas station early in the morning.[227]
8/23/20,New York City (17),New York,1,3,4,A man was killed and three others wounded in a housing complex in Brooklyn in the early morning.[228]
8/23/20,Somerville (Tn),Tennessee,1,4,5,A nineteen-year-old man was killed and two men and two women injured in an early morning shooting at a party.[229]
8/23/20,Champaign,Illinois,0,4,4,Four men were wounded at a party outside an apartment complex when a fight escalated early in the morning.[230]
8/23/20,Chicago(36),Illinois,0,4,4,"Four men were wounded standing outside a business in the Englewoodneighborhood, in an afternoon drive-by shooting.[231]"
8/23/20,Pueblo,Colorado,0,6,6,Early in the morning responding officers found three wounded individuals at a home near Pikes Peak International Raceway. Three more wounded were identified at a local hospital and some of the wounded are teenagers. Officers believe the shooting happened at a house party.[232]
8/22/20,Rockford (4),Illinois,1,3,4,Shortly before midnight one man was killed and three others injured.[233]
8/22/20,Hueytown,Alabama,1,3,4,One person was killed and three wounded after an early morning shooting near the Allison Bonnet Memorial Drive.[234]
8/19/20,Philadelphia(17),Pennsylvania,0,4,4,A gun fight wounded two adults and two seventeen-year-olds in West Philadelphia.[235]
8/19/20,Chicago(35),Illinois,0,6,6,Five adults and a seventeen-year-old were wounded after a man stepped out of a vehicle and opened fire on a large gathering. The shooting took place in Gresham in the South Side.[236]
8/18/20,Philadelphia(16),Pennsylvania,1,4,5,A man was killed and four others wounded including a fifteen-year-old in the Strawberry Mansion neighborhood.[237]
8/18/20,New York City (16),New York,0,4,4,A car drove up to a Ravenswood Public Housing building in Queens and opened fire. A seventeen-year-old boy and three adults were wounded.[238]
8/18/20,Rockford (3),Illinois,0,4,4,Four people were wounded in the early morning at a large gathering in Twin Sisters Park.[239]
8/17/20,Louisville (6),Kentucky,2,2,4,Two people were killed and two people were wounded in a shooting late at night before the car they were in crashed.[240]
8/17/20,Cleveland(5),Ohio,0,5,5,Five people were wounded at Dove Park in an evening drive-by shooting.[241]
8/17/20,New York City (15),New York,0,4,4,Four men were wounded in an early morning shooting in Brooklyn. The suspected gunman fled in a car after opening fire.[242]
8/17/20,Dayton,Texas,3,2,5,"A man is accused of killing his ex-girlfriend, a man in her home, and a neighbor and wounding two others. He was later arrested after hiding in the surrounding woods.[243]"
8/16/20,San Antonio(5),Texas,0,5,5,"Five people were injured, one critically, in a shooting caused by a dispute at a flea market. A security guard returned fire.[244]"
8/16/20,Cincinnati(2),Ohio,2,9,11,One person died at the scene and one later at the hospital with nine others wounded in an early morning shooting.[245]
8/16/20,Lexington(1),Kentucky,1,3,4,An eighteen-year-old was killed and three others wounded after a disturbance occurred at a large gathering.[246]
8/16/20,Denver (5),Colorado,2,5,7,Two men were killed and five others were wounded in a shooting shortly after an earlier shooting.[247]
8/16/20,Cincinnati(1),Ohio,1,3,4,"Responding officers found a man wounded shortly after midnight, who later died at the hospital. Three others arrived by private vehicles to the hospital.[248]"
8/16/20,Oklahoma City (1),Oklahoma,0,4,4,Four people were wounded at a large birthday party in the parking lot.[249]
8/15/20,Philadelphia(15),Pennsylvania,0,5,5,Four adults and a sixteen-year-old boy were injured shortly before midnight at a large block party when a group on motorcycles arrived and opened fire.[250]
8/15/20,Rochester(2),New York,0,5,5,Five people were wounded shortly before midnight.[251]
8/15/20,Belleville,Michigan,4,0,4,"Two men and two women were killed in a home, with one of the women killed identified as the shooter's former fiancée. The shooter boasted about the killings on social media and text messages before being arrested.[252]"
8/15/20,New Haven,Connecticut,1,5,6,One man was killed and five injured after a dice game grew violent shortly before midnight.[253]
8/15/20,Troy (Al),Alabama,2,3,5,Officers arrived at a large gathering early in the morning to disperse it. While doing so shots were fired in the apartment complex's parking lot. Two men were killed and three others wounded.[254]
8/14/20,New York City (14),New York,0,4,4,Three women and one man were wounded late at night on Lenox Avenue in Harlem.[255]
8/12/20,Dayton (2),Ohio,1,3,4,A woman was killed and three others wounded in a drive by shooting in the early morning.[256]
8/12/20,Newark (2),New Jersey,1,4,5,An eighteen-year-old was killed and four others wounded shortly after midnight.[257]
8/11/20,Los Angeles(5),California,0,5,5,"Five people were wounded shortly after midnight outside of a warehouse in the Harbor Gateway neighborhood. The shooting occurred after an argument escalated, and an additional person was injured attempting to climb a fence.[258]"
8/9/20,Denver (4),Colorado,0,10,10,Ten people were injured in a drive-by shooting during a family gathering in a park.[259]
8/9/20,Toledo (2),Ohio,0,6,6,Six people were wounded in the early morning after a large gathering turned violent near a shopping center.[260]
8/9/20,"Washington, D.C. (7)","Washington, D.C.",1,21,22,"2020 Washington, D.C. block party shooting: A 17-year-old boy was killed and 21 others injured, including an off-duty police officer, at a party in the southeastern section of the nation's capital. Police are looking for three suspects.[261]"
8/9/20,Jackson (Ms) (5),Mississippi,0,4,4,"Four people were wounded in the evening, two of the victims drove away and later crashed outside a local bank.[262]"
8/9/20,Houston (9),Texas,0,4,4,"Four men were wounded being a gas station shortly before midnight. The men were playing dice, when a gunman walked up, shot them and fled on foot.[263]"
8/8/20,Paducah,Kentucky,1,4,5,Shortly before midnight a man was killed and four others wounded in the city's north side.[264]
8/8/20,Philadelphia(14),Pennsylvania,0,6,6,"A pregnant woman, three teenagers and two other women were wounded. They were a part of a large BBQ gathering at a public park.[265]"
8/8/20,Brockton,Massachusetts,0,5,5,Five men were wounded at a house party which was detected by the city's gunshot detection system. Prior a woman from the same party was stabbed.[266]
8/8/20,Birmingham,Alabama,1,5,6,"A man was killed and five people, including an off-duty Birmingham Police officer, were wounded at a motorcycle club in Ensley. The shooting was reported to be due to an altercation escalating, with some of the victims innocent bystanders.[267]"
8/8/20,Albany (NY)(2),New York,1,3,4,"A 18-year-old man was killed and a 22-year-old, 28-year-old, and 29-year-old were injured in a drive by shooting involving multiple suspected perpetrators.[268]"
8/6/20,Oakland (2),California,1,3,4,A man was killed and three others injured while standing outside a house party.[269]
8/5/20,Chicago(34),Illinois,0,4,4,An 8-year-old boy and three men were wounded in the North Lawndale neighborhood. The shooter exited a vehicle and opened fire on the group while they were standing on the sidewalk.[270]
8/4/20,Madison,Wisconsin,0,4,4,Four people were wounded in Garner Park during a memorial service for a recently deceased individual. Over 300 people were gathered when gunfire broke out and a fifth person was injured fleeing.[271]
8/4/20,"Washington, D.C. (6)","Washington, D.C.",0,4,4,Four men were wounded in an evening shooting.[272]
8/4/20,Los Angeles(4),California,1,4,5,A woman was killed and four others were injured at a rented mansion house party. The home was on the famed Mulholland Drive in the Beverly Crest neighborhood.[273]
8/4/20,St. Louis (8),Missouri,1,3,4,A woman was killed and two adults and a 17-year-old were injured near the former ABB manufacturing plant. The plant was the scene of a mass shooting in 2010.[274]
8/4/20,Hartford (2),Connecticut,1,5,6,A man was killed and five others injured after an early morning shooting at a large gathering at a warehouse.[275]
8/3/20,New York City (13),New York,0,4,4,Four people were wounded after a shooter opened fire on a large crowd watching a basketball game at St. Mary's Park in the Bronx.[276]
8/2/20,Philadelphia(13),Pennsylvania,0,4,4,Four women were injured with gun fire in the early morning. A fifth woman was stabbed multiple times.[277]
8/2/20,Newark (1),New Jersey,0,5,5,Four adults and a 10-year-old child were wounded after multiple heavily armed shooters opened fire on males in a specific block.[278]
8/1/20,Chicago(33),Illinois,1,4,5,"A man was killed and four others, two men and two women, were injured at a backyard BBQ. Responding officers arrested two men fleeing from the scene.[279]"
8/1/20,Pointblank,Texas,2,3,5,Two men were killed and two adults and an infant were injured. A man entered a home where a child's birthday party was ongoing and opened fire. Two guests returned fire and were among the injured.[280]
8/1/20,Denver (3),Colorado,1,4,5,A 16-year-old was killed and three adults and a girl were wounded at a large gathering in the Westwood neighborhood.[281]
8/1/20,Montgomery(2),Alabama,0,4,4,Four men were injured after a shooting at an entrance to I-85 South.[282]
7/31/20,Philadelphia(12),Pennsylvania,1,3,4,A woman was killed and three men were wounded in an evening shooting.[283]
7/30/20,Miami Gardens,Florida,0,5,5,Five men were wounded after a potentially gang related shooting occurred behind a U-Gas Station. A witness likened the amount of gunfire to the Iraq war.[284]
7/30/20,Tampa (1),Florida,0,5,5,A man opened fire at a gas station while screaming at passersby. He wounded five people before he was arrested.[285]
7/29/20,Detroit (6),Michigan,0,4,4,Three men and a woman were injured while standing outside and a person opened fire from a car.[286]
7/29/20,St. Louis (7),Missouri,3,1,4,Three men were killed and a third injured after an afternoon dispute escalated between two groups of people.[287]
7/29/20,Elyria,Ohio,5,0,5,"A man killed his wife and three children, aged 12, 10 and 6-years-old, and then himself in an apparent murder-suicide.[288]"
7/28/20,Wilmington(2),Delaware,2,2,4,A 17-year-old and a woman were killed and two men were injured in a shooting.[289]
7/28/20,Milwaukee(6),Wisconsin,0,4,4,Four men were injured in the evening.[290]
7/27/20,Federal Way,Washington,1,3,4,A 17-year-old was killed and two adults and a 12-year-old injured at Steel Lake Park. A woman reportedly opened fire after an argument.[291]
7/27/20,Chicago(32),Illinois,1,4,5,Five people were sitting on a porch in the evening when one was killed and four injured in a drive-by shooting.[292]
7/26/20,Magnolia,Arkansas,0,4,4,Four people were injured in the early morning after at least two semi-automatic handguns were fired at a large house party.[293]
7/26/20,Mont Enterprise,Texas,0,4,4,Four people were injured shortly after midnight when someone opened fire during the Rude Boyz Annual Trail Ride. The gathering was held at Durango's Canyon.[294]
7/26/20,Flint Township,Michigan,1,3,4,"One person was killed and three others were injured when two men opened fire in a restaurant. One man was charged with open murder, three counts of assault with intent to murder and multiple weapons charges. The other man was charged with careless discharge of a firearm.[295]"
7/26/20,Commerce(1),Colorado,1,3,4,Responding officers to a large gathering in the early morning found a man dead. Three additional victims were transported in private vehicles to the hospital.[296]
7/26/20,Louisville (5),Kentucky,1,3,4,"Officers responded to I-64 West in the early morning after calls of shots fired by a moving vehicle. They found four individuals shot, with one dead, in a crashed car. A fifth individual was wounded when the car crashed.[297]"
7/25/20,Raleigh (1),North Carolina,0,4,4,A woman and three men were wounded near a local restaurant.[298]
7/25/20,Manteca,California,0,7,7,Officers responded from a traffic stop after hearing gunfire. They discovered seven people wounded at a large house party after a man armed with a semi-automatic weapon arrived and opened fire.[299]
7/25/20,Flint,Michigan,0,6,6,"Six people were shot at a party of over 1,000 people following the filming of a music video in a parking lot.[300]"
7/25/20,Miami (1),Florida,1,3,4,"A seven-year-old girl, a sixteen-month boy and two adults were shot by a passing vehicle while getting out of a car. The girl was declared brain dead at the hospital, causing the shooting to be declared a homicide.[301]"
7/25/20,Denver (2),Colorado,2,3,5,Two men were killed and two woman and a man were wounded in the Park Hill neighborhood.[302]
7/25/20,Dallas (2),Texas,0,4,4,"Three men and a woman were injured shortly before midnight. A man was denied entry at a local bar, retrieved an assault-type weapon from his car, and shot into the building.[303]"
7/24/20,Atlanta (7),Georgia,2,2,4,"Two adults were killed and two teenagers, aged seventeen and eighteen, were injured in an early morning shooting. The group were ambushed by two shooters after arriving at an AirBnb house party in a rideshare.[304]"
7/23/20,Henrico County,Virginia,1,3,4,One man was killed and three others injured in the early morning. Officers are investigating if the individuals were a part of an announced party for that night.[305]
7/23/20,Petersburg,Virginia,0,4,4,Four people were wounded in an early morning shooting.[306]
7/23/20,Chicago(31),Illinois,2,4,6,Two people were killed and four injured while standing on the sidewalk in the West Pullman area of the Far South Side.[307]
7/22/20,Warren,Michigan,0,4,4,A man opened fire and others returned fire at a large party with at least one hundred people in attendance. Four people were injured in the shooting.[308]
7/21/20,Chicago(30),Illinois,0,15,15,"Fifteen people were injured, four critically, after a shooter opened fire at people leaving a funeral home in Chicago's Auburn Greshamneighborhood.[309]"
7/20/20,Chicago(29),Illinois,0,5,5,Five people were wounded in the North Lawndale neighborhood. They were a part of people gathered on the sidewalk when a car pulled up and several men got out and opened fire.[310]
7/20/20,Richmond(2),Virginia,1,4,5,One man was killed and four others injured after a fight in a McDonald'sparking lot escalated. One of the injured was an innocent bystander in the Food Lion parking lot across the street.[311]
7/19/20,Peoria (2),Illinois,0,13,13,Thirteen people were injured in an early morning shooting at a riverfront gathering. An argument between two women led to a man firing two shots into the air. This led to multiple individuals opening fire on the crowd.[312]
7/19/20,Omaha,Nebraska,0,8,8,Eight people including a fifteen-year-old girl were injured in a drive by shooting early in the morning.[313]
7/19/20,Chicago(28),Illinois,2,3,5,"Two people were killed and three wounded shortly before midnight in Morgan Park on the Far South Side. They were part of a group of people, that were fired upon by an unknown shooter.[314]"
7/19/20,"Washington, D.C. (5)","Washington, D.C.",1,8,9,Police responding to reports of a shooting discovered one man killed and eight other adults wounded.[315]
7/19/20,Detroit (5),Michigan,0,4,4,"Two fifteen-year-olds and two seventeen-year-olds were wounded while sitting in traffic when another car pulled up and opened fire. Four days later, the suspect was shot by police after a pursuit in which he was found holding a gun and died at a hospital.[316][317]"
7/19/20,Detroit (4),Michigan,3,1,4,"A man opened fire in a restaurant, killing three men and injuring another. The shooter has been taken into custody.[318]"
7/18/20,Chicago(27),Illinois,1,4,5,A man was killed and four others wounded after two men opened fire in the early morning in the North Lawndale neighborhood. The men were standing on a street corner.[319]
7/17/20,Columbus(2),Ohio,0,4,4,Four adults were wounded while attending a memorial in Weinland Park. A three-year-old girl was also wounded when bullets struck the home she was in.[320]
7/17/20,Madison,Florida,0,4,4,"Three adults and a child were injured after a man, out on bond from a January arrest, entered their home and opened fire.[321]"
7/16/20,Nashville (1),Tennessee,0,5,5,"Eight or nine people opened fire in the early morning in a drive-by shooting. Five people were wounded, including a juvenile.[322]"
7/15/20,New York City (12),New York,1,5,6,Two gunmen opened fire in the early morning outside a Brooklynapartment building. A man was killed and five other adults were wounded.[323]
7/15/20,Shreveport(2),Louisiana,1,3,4,A man was killed and two adults and an 11-year-old child were injured after an argument escalated from an original argument at a basketball court.[324]
7/14/20,St. Joseph,Missouri,0,5,5,Five men were injured while standing in a park after a vehicle drove by and opened fire.[325]
7/14/20,Durham,North Carolina,0,8,8,Six adults and two children aged four and eight-years-old were wounded after someone opened fire at a party outside a home.[326]
7/13/20,New York City (11),New York,0,6,6,Multiple shooters traveled across three different blocks and wounded six people in Brooklyn.[327]
7/13/20,Louisville (4),Kentucky,1,3,4,"A 16-year-old was killed and three others, including two juveniles, were wounded at a gas station.[328]"
7/13/20,Kent,Washington,0,6,6,Five adults and a teenager were wounded after an argument escalated at a Metro bus stop.[329]
7/12/20,Como,Mississippi,2,3,5,"Two people were killed and three injured at a large outdoor hip hop concert in which potentially five separate guns were used. An additional three people were injured while attempting to flee, after being hit by cars.[330]"
7/12/20,Baton Rouge (3),Louisiana,1,7,8,A man was killed and seven others injured in an early morning shooting outside an Exxon gas station.[331]
7/12/20,Lansing,Michigan,0,5,5,Three women and two men were injured after someone opened fire outside an apartment complex. At the complex there was a large party happening with over 100 people present.[332]
7/12/20,New York City (10),New York,1,3,4,Two men opened fire on a late night cookout at the Raymond Bush Playground in Brooklyn. Three men were injured and an infant sitting in a stroller was killed.[333]
7/12/20,Fort Lauderdale(2),Florida,2,2,4,"Two men were killed in an early morning shooting at a party, with two others wounded.[334]"
7/12/20,Chicago(26),Illinois,1,3,4,A man was killed and two other men and a woman were wounded in Englewood in the evening.[335]
7/12/20,Chicago(25),Illinois,1,4,5,Four men were wounded and one killed in an early morning shooting. The group was standing in the street when a verbal altercation escalated with at least two shooters.[336]
7/11/20,Rochester(1),New York,0,6,6,Responding officers to an early morning block party arrived to gunfire. Two wounded individuals were identified at the party and four others were identified at local hospitals.[337]
7/11/20,Wilmington(1),Delaware,0,5,5,Four teenagers aged between 15 and 13-years-old and 10-year-old child were wounded. Someone opened fire on a playground late at night.[338]
7/7/20,Paterson (2),New Jersey,4,3,7,"In a late night shooting, four people were killed and three injured. Officers suspect the shooting was retaliation by people recently released from prison.[339]"
7/7/20,Alexandria,Virginia,0,5,5,Shortly after midnight an individual stormed an apartment and wounded a man and four teenagers aged 14 to 19-years-old.[340]
7/6/20,Chicago(24),Illinois,0,6,6,Shots were fired into a group of people in the Auburn Gresham area on the South Side. The evening shooting wounded six.[341]
7/5/20,Detroit (3),Michigan,2,4,6,Two men were killed and four others - two men and two women - were injured in a shooting at a late-night party.[342]
7/5/20,Houston (8),Texas,0,4,4,Three men waiting at a stop light and were wounded when someone opened fire. Comedian Rickey Smiley's daughter was a passenger in another vehicle and was also wounded.[343]
7/5/20,Chicago(23),Illinois,0,4,4,A 16-year-old girl and three adults were wounded by gunfire while standing in an alley in the West Side's Fifth City neighborhood in the early morning.[344]
7/5/20,Davenport(2),Iowa,1,3,4,Officers arrived at an early morning fight and heard shots being fired. They later discovered a man killed by the gunfire and three others injured.[345]
7/5/20,Greenville (SC),South Carolina,2,8,10,"At least two people are killed and eight injured, four critically, at a nightclub. No suspects have been arrested.[346]"
7/5/20,New York City (9),New York,0,5,5,"Four adults and a 15-year-old boy were injured in an early morning shooting in Inwood, Manhattan.[347]"
7/5/20,Helena,Arkansas,1,3,4,"A man was killed and three others injured in a parking lot, after leaving an event held by rapper Bankroll Freddie. People were leaving the event when someone fired into the crowd.[348]"
7/5/20,Milwaukee(5),Wisconsin,0,4,4,Shortly after midnight three men and one woman were injured.[349]
7/5/20,Cambridge,Maryland,0,4,4,"Four people were wounded in an early morning shooting, with potentially multiple weapons used.[350]"
7/5/20,Atlanta (6),Georgia,2,12,14,"A large group of people were watching fireworks, when a fight broke out after a car hit a pedestrian. Fourteen people were wounded, of which two were declared dead at the hospital.[351]"
7/5/20,Chicago(22),Illinois,1,5,6,A woman was killed and five men were wounded in an early morning drive-by shooting. The group was setting off fireworks when the car approached.[352]
7/5/20,Ephrata,Pennsylvania,0,4,4,A 20-year-old opened fire on a group of six people after getting into an altercation and taking a rifle from his father. Four of the group were injured and the 20-year-old and his father were arrested.[353]
7/5/20,Columbia,Missouri,2,3,5,"An adult and 11-year-old girl were killed shortly after midnight, three others were wounded. Officers believe that there were two shooters.[354]"
7/5/20,Freeport,Illinois,1,5,6,Shortly after midnight a man was killed and five others were wounded.[355]
7/5/20,Barnwell County,South Carolina,0,5,5,Five teenagers were wounded shortly after midnight after a shooting occurred at a house party.[356]
7/5/20,Greenville (Ms),Mississippi,0,4,4,"A group of people were traveling in a party bus, when someone opened fire on the vehicle. Four people in the bus were wounded.[357]"
7/4/20,Temple Hills,Maryland,1,3,4,"Four men were wounded in Marlow Heights, one man later died at the hospital.[358]"
7/4/20,Baton Rouge (2),Louisiana,0,4,4,Two adults and two children were injured in a drive-by shooting.[359]
7/4/20,Atlanta (5),Georgia,0,5,5,"A group of people were fired at by an individual in a vehicle, shortly before midnight. Five people were wounded.[360]"
7/4/20,Jackson (Ms) (4),Mississippi,1,3,4,"An early morning shooting occurred at a nightclub, after an altercation escalated. One person was killed and three others wounded.[361]"
7/4/20,Chicago(21),Illinois,1,3,4,A man was killed and three others injured in a late night shooting in South Chicago.[362]
7/4/20,Chicago(20),Illinois,4,4,8,"Four people are killed, and at least four more were injured at an outdoor gathering in Englewood when four men opened fire into a crowd. No suspects have been arrested.[363]"
7/4/20,Lynn (1),Massachusetts,1,4,5,A man was killed and four others injured at a July 4 cookout.[364]
7/3/20,Baltimore(5),Maryland,0,4,4,Four women were injured in a late night shooting in southwest Baltimore.[365]
7/3/20,Hoover,Alabama,1,3,4,A suspected shootout occurred inside the Riverchase Galleria in the afternoon. An 8-year-old boy was killed and two adults and a girl were injured.[366]
7/2/20,Delano (2),California,2,3,5,A group of five were shot after a man got out of a vehicle and opened fire. Two girls were killed aged 11 and 12-years-old and three adults were wounded.[367]
7/2/20,Somerville (Ma),Massachusetts,0,4,4,"A man and three women were wounded in a late night shooting, the next day three suspects were arrested.[368]"
7/2/20,Paterson (1),New Jersey,1,4,5,A man was killed and four others injured shortly after midnight on a street corner.[369]
7/1/20,Oakland (1),California,0,4,4,Three men and a woman were wounded in their vehicle on Interstate 580.[370]
6/30/20,Boston (2),Massachusetts,1,3,4,Officers responding to a call of shots fired discovered four wounded individuals. A man later died at the hospital.[371]
6/30/20,Davenport(1),Iowa,0,5,5,Five men were wounded in an evening shooting. Officers believed the shooting was targeted at the group.[372]
6/30/20,Atlanta (4),Georgia,1,4,5,"Early in the morning, a group of men sitting on the sidewalk were shot at in a drive-by. One man was killed and four injured.[373]"
6/30/20,Chicago(19),Illinois,0,4,4,Shortly after midnight three men and a woman were shot while waiting in a vehicle at a Shell gas station in River North neighborhood. The shooter was in and later fled in a red sedan.[374]
6/30/20,Dayton (1),Ohio,0,4,4,Three men and one women were all wounded in a shooting.[375]
6/30/20,Greenbrier,Arkansas,0,4,4,"Three adults and one juvenile were wounded, after going to a residence and getting into an altercation. The shooter was a juvenile resident of the home.[376]"
6/29/20,Los Angeles(3),California,0,4,4,Four men were wounded in a public park in Sylmar in a drive-by shooting.[377]
6/29/20,Sioux Falls,South Dakota,1,3,4,"A man shot and killed another man in a home, after mistaking it as the home of his intended target. He left and entered the correct home and wounded three others.[378]"
6/28/20,Philadelphia(11),Pennsylvania,2,2,4,Two men were killed and two injured in a late night shooting in the Kensington neighborhood.[379]
6/28/20,Sawyerville,Alabama,0,7,7,"During an early morning field party, seven people were wounded after an argument between two men escalated.[380]"
6/27/20,Red Bluff,California,2,4,6,Red Bluff shooting. An employee was killed and four injured at a Walmart distribution center. The perpetrator was later killed in a shootout with responding police.[381]
6/27/20,Peoria (1),Illinois,0,4,4,Officers responding to an early morning ShotSpotter alert found two men wounded and identified two women who arrived at the hospital to be a part of the incident.[382]
6/27/20,New York City (8),New York,0,4,4,"Early in the morning a man opened fire at a house party in Brooklyn, and injured four people.[383]"
6/27/20,Chicago(18),Illinois,1,3,4,A man was killed and three others wounded after a large gathering in Douglas.[384]
6/27/20,Blytheville,Arkansas,3,1,4,"A Missouri man traveled to the area for a house party, where a couple got into a physical domestic fight. Shortly after 911 was called in response to that fight the man opened fire and killed his Uncle and two others, and wounded another.[385]"
6/26/20,Aurora (2),Colorado,0,5,5,Five people were wounded by a shooter outside a local grocery store. Officers previously thought the incident was a gunfight but later announced it was one shooter.[386]
6/26/20,Fresno,California,0,4,4,"Four people were wounded at a house party shortly before midnight, after two shooters appeared near a neighboring home.[387]"
6/26/20,Phoenix (1),Arizona,0,4,4,"Three adults and a 14-year-old boy were wounded in the early morning at a gas station. Prior to the shooting, a large crowd of people and cars had been gathered around the gas station.[388]"
6/25/20,Philadelphia(10),Pennsylvania,0,4,4,Four men were wounded after a shooting at an intersection in the Kensington neighborhood.[389]
6/25/20,Bridgeport(2),Connecticut,1,3,4,"A man was killed, and two adults and a 17-year-old injured while attempting to make a rap music video. Officers believed the shooting was targeted, as the victims refused to cooperate.[390]"
6/24/20,Jackson (Tn) (1),Tennessee,0,4,4,Three adults and one juvenile were wounded in an early morning shooting. The suspected shooter was arrested.[391]
6/23/20,Chicago(17),Illinois,0,4,4,"Four people were wounded in a drive by shooting in Burnside, while standing on a porch.[392]"
6/23/20,Lake Worth Beach,Florida,0,5,5,Five people were wounded in a drive-by shooting during the evening. Responding police believed the shooter and victims know each other.[393]
6/22/20,San Francisco(1),California,0,5,5,Police discovered five men wounded by gunfire in the Tenderloin neighborhood.[394]
6/22/20,Charlotte (2),North Carolina,3,6,9,"Officers responding to a block party on reports of someone being hit by a car arrived to shots being fired. Three people were killed and six injured by gunfire, with an additional five injured after being hit by cars while attempting to flee.[395]"
6/22/20,Minneapolis(4),Minnesota,0,4,4,Officers responding to a shooting on West Broadway Avenue discovered four people injured.[396]
6/22/20,Minneapolis(3),Minnesota,0,4,4,Four people were wounded in the Willard-Hay neighborhood during the afternoon.[397]
6/22/20,Chicago(16),Illinois,0,5,5,"Five people were wounded in a drive-by, including a 16-year-old girl, at an early morning gathering in East Garfield Park.[398]"
6/22/20,Chicago(15),Illinois,0,4,4,Four people were wounded early in the morning after an individual opened fire from a vehicle in the Back of the Yards neighborhood on the South Side.[399]
6/22/20,New York City (7),New York,0,5,5,Five people were shot during a vigil in the Crown Heights area of Brooklyn in the evening.[400]
6/21/20,Buffalo (1),New York,0,4,4,Four men were wounded after a shooting at an early morning gathering of cars.[401]
6/21/20,Austin,Texas,0,5,5,Five people were wounded in an early morning shooting.[402]
6/21/20,Milwaukee(4),Wisconsin,1,4,5,Early in the morning a shooting occurred at a house party. Five individuals were shot and one died on the way to the hospital in a private vehicle.[403]
6/21/20,Auburn,Alabama,0,4,4,"Shortly after midnight, officers responded to a home after a complaint of gunshots. They discovered four men wounded.[404]"
6/21/20,Chicago(14),Illinois,1,3,4,An argument in Humboldt Park escalated shortly after midnight. A man was killed and three wounded.[405]
6/21/20,Minneapolis(2),Minnesota,1,11,12,"A group of people fired into a crowd, killing one and injuring 11 others.[406]"
6/20/20,Syracuse,New York,0,9,9,Officers arrived at a large party in a public parking lot after reports of a stolen car was made. An individual opened fire as they arrived and injured nine people including a 17-year-old.[407]
6/20/20,New York City (6),New York,0,4,4,Three women and a man were injured after a fight broke out between two groups gathered at Claremont park.[408]
6/20/20,Detroit (2),Michigan,0,4,4,Four people were wounded in a drive-by shooting in the evening.[409]
6/20/20,Saginaw (3),Michigan,1,3,4,A woman sitting in her car was killed and three others injured in a separate car early in the morning. A shoot-out had occurred in a large gathering nearby.[410]
6/20/20,Pinetops,North Carolina,2,2,4,Early in the morning two people were killed and two wounded in a shooting.[411]
6/20/20,Jersey City,New Jersey,1,4,5,One person was killed and four injured shortly after midnight.[412]
6/20/20,Wichita,Kansas,0,5,5,Five people were shot at a motel after a party in one of the rooms had an argument that escalated. Police believe the shooting was intended to be targeted.[413]
6/20/20,New York City (5),New York,0,4,4,Four people were wounded at an overnight park party in the Bronx after an argument escalated.[414]
6/20/20,Janesville,Wisconsin,0,4,4,Officers responding to a shots fired call in the early morning found four people wounded at an adult entertainment venue.[415]
6/18/20,Albany (NY)(1),New York,0,7,7,"Early in the morning a man was discovered by officers with a gunshot wound. Shortly after transporting the man to the hospital, six other victims were identified at local hospitals to be a part of the same shooting.[416]"
