2020 date,City,State,Dead,Injured,Total,Description
11/18/20,Florence,South Carolina,0,4,4,Four people were wounded in an evening shooting.[60]
11/17/20,Jackson (Tn) (2),Tennessee,0,4,4,Four people were wounded at a home that had been the site of a break in back in January 2020.[61]
11/16/20,Miami (4),Florida,0,4,4,Two adults and two children under the age of seven were wounded in a drive-by shooting. They were standing outside a home in Golden Glades.[62]
11/16/20,Chicago(50),Illinois,0,4,4,Four people were wounded in a drive-by shooting while walking down a road on the West Side. Two of the wounded were teenage girls.[63]
11/16/20,Chicago(49),Illinois,0,4,4,Four people were wounded at the Dearborn homes after another group began an argument which escalated.[64]
11/15/20,Shreveport(3),Louisiana,0,5,5,Five people were shot shortly after midnight while attending a street gathering.[65]
11/15/20,Riverdale,Georgia,2,2,4,Two men were killed and two injured at a trailer park in a late night shooting.[66]
11/14/20,Sumter,South Carolina,3,1,4,"Shortly before midnight, three people were killed and a pregnant woman wounded in a home.[67]"
11/14/20,Fulton,Missouri,0,4,4,Four people were wounded in a late night shooting at an event center. The center had been rented out for a birthday party prior to the shooting.[68]
11/14/20,Cincinnati(3),Ohio,0,4,4,"Four teenagers, aged between twelve and fifteen, were wounded in an evening drive by shooting in the Winton Hills area.[69]"
11/14/20,Riverside,California,2,3,5,Officers responding to an assault with a deadly weapon call found two men who later died at a hospital. Three additional wounded individuals were identified at a hospital.[70]
11/12/20,Tampa (4),Florida,2,4,6,Officers responding to reports of multiple gunshots found two men dead and four wounded in an evening shooting.[71]
11/12/20,Gastonia (2),North Carolina,0,6,6,"Six people were shot, including two police officers, when an argument inside a nightclub escalated.[72]"
11/10/20,Tampa (3),Florida,1,7,8,A man was killed and seven other men and teenagers were wounded in a drive-by shooting. A car opened fire on a group gathered at a basketball court next to a Boys & Girls Club.[73]
11/9/20,Fort Worth(3),Texas,0,4,4,Two adults and two children were wounded in an afternoon shooting at a local food mart. Police are investigating it as possible gang activity.[74]
11/8/20,Virginia Beach,Virginia,0,4,4,Two adults and two children under the age of twelve were wounded in a gated apartment complex.[75]
11/8/20,Nashville (4),Tennessee,0,8,8,Eight people and a dog were injured in a shooting on Commerce Street in the early hours of the morning.[76]
11/7/20,Ogden,Kansas,0,4,4,Four men were wounded outside a local bar shortly before midnight.[77]
11/7/20,Rock Hill (2),South Carolina,1,3,4,One individual was killed and three injured inside a local bar shortly after midnight.[78]
11/6/20,New Orleans (8),Louisiana,2,2,4,Two people were wounded and two killed in the Hollygrove section of the city. One of those killed may have been the target of the shooting.[79]
11/5/20,Toledo (3),Ohio,3,1,4,Three people were killed and one injured near an apartment complex. The shooting is believed to be connected to a hit and run accident just down the road.[80]
11/4/20,Jefferson City,Missouri,0,4,4,Four people were wounded in a shooting in a parking lot at a local sporting complex and gym located near the Jefferson City High School.[81]
11/3/20,Henderson(1),Nevada,4,1,5,A man shot and killed three people at an apartment complex before being shot dead by police. A fifth person was taken to a hospital with gunshot wounds but the condition of the person was not yet known.[82]
11/1/20,Atlantic City,New Jersey,1,3,4,A man was killed and three wounded near a local bar that was hosting a Halloween party in the early morning.[83]
11/1/20,Hollywood,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a party in an abandoned house.[84]
11/1/20,Winston-Salem,North Carolina,1,3,4,A man was killed and three others wounded shortly after midnight. A suspect was arrested shortly after.[85]
11/1/20,Evansville,Indiana,0,4,4,Four people were wounded outside of a bar after an early morning argument escalated in a large crowd. The bar was the scene of a similar shooting in February 2019.[86]
11/1/20,Oklahoma City (2),Oklahoma,1,3,4,A man was killed and three others injured after someone fired into an event center.[87]
